stationName;stationFrom;stationTo
Ykspihlaja väliratapiha;Ykspihlaja väliratapihalta;Ykspihlaja väliratapihalle
Ylistaro;Ylistarosta;Ylistaroon
Ylitornio;Ylitorniolta;Ylitornioon
Ylivalli;Ylivallista;Ylivalliin
Ylivieska;Ylivieskasta;Ylivieskaan
Yläkoski;Yläkoskelta;Yläkoskelle
Ylämylly;Ylämyllyltä;Ylämyllylle
Ylöjärvi;Ylöjärveltä;Ylöjärvelle
Ypykkävaara;Ypykkävaarasta;Ypykkävaaraan
Äetsä;Äetsästä;Äetsään
Ähtäri;Ähtäristä;Ähtäriin
Ämmänsaari;Ämmänsaaresta;Ämmänsaareen
Äänekoski;Äänekoskelta;Äänekoskelle
